포인트 wkt,시군구명
POINT (126.968590563668 37.5793826677127),서울특별시 종로구
POINT (126.968590563668 37.5793826677127),서울특별시 종로구
POINT (126.968590563668 37.5793826677127),서울특별시 종로구
POINT (126.968590563668 37.5793826677127),서울특별시 종로구
POINT (126.968535907548 37.579433000699),서울특별시 종로구
POINT (126.968469780128 37.5794100978088),서울특별시 종로구
POINT (126.968374877192 37.5794352461928),서울특별시 종로구
POINT (126.96812760059 37.5793916977198),서울특별시 종로구
POINT (126.967969438972 37.5794099631075),서울특별시 종로구
POINT (126.967995282443 37.5794946455272),서울특별시 종로구
POINT (126.967995282443 37.5794946455272),서울특별시 종로구
POINT (126.967949189643 37.5796914461324),서울특별시 종로구
POINT (126.967949189643 37.5796914461324),서울특별시 종로구
POINT (126.967949189643 37.5796914461324),서울특별시 종로구
POINT (126.967788141954 37.5797325957374),서울특별시 종로구
POINT (126.967655776206 37.5799431037931),서울특별시 종로구
POINT (126.967675893145 37.5799705715962),서울특별시 종로구
POINT (126.967675893145 37.5799705715962),서울특별시 종로구
POINT (126.967391222132 37.5799521851074),서울특별시 종로구
POINT (126.967126656927 37.5799864395939),서울특별시 종로구
POINT (126.966945462117 37.580066487349),서울특별시 종로구
POINT (126.966945462117 37.580066487349),서울특별시 종로구
POINT (126.966945462117 37.580066487349),서울특별시 종로구
POINT (126.96656587838 37.5800915542175),서울특별시 종로구
POINT (126.966525606336 37.5801235821451),서울특별시 종로구
POINT (126.966525606336 37.5801235821451),서울특별시 종로구
POINT (126.966053990991 37.5801783720502),서울특별시 종로구
POINT (126.966053990991 37.5801783720502),서울특별시 종로구
POINT (126.965918821206 37.5802195265398),서울특별시 종로구
POINT (126.965697340478 37.5803567738437),서울특별시 종로구
POINT (126.965697340478 37.5803567738437),서울특별시 종로구
POINT (126.965697340478 37.5803567738437),서울특별시 종로구
POINT (126.968029792683 37.5794855007802),서울특별시 종로구
POINT (126.97173119447 37.5779027859495),서울특별시 종로구
POINT (126.971621934579 37.5778821630076),서울특별시 종로구
POINT (126.971621934579 37.5778821630076),서울특별시 종로구
POINT (126.971621934579 37.5778821630076),서울특별시 종로구
POINT (126.971647837195 37.5778203790501),서울특별시 종로구
POINT (126.971386223496 37.5776807158852),서울특별시 종로구
POINT (126.971386223496 37.5776807158852),서울특별시 종로구
POINT (126.971012389186 37.5777447033878),서울특별시 종로구
POINT (126.970566706412 37.5777102652356),서울특별시 종로구
POINT (126.970566706412 37.5777102652356),서울특별시 종로구
POINT (126.970604074789 37.577742313892),서울특별시 종로구
POINT (126.970313639709 37.5777765690908),서울특별시 종로구
POINT (126.970020336252 37.5777925146444),서울특별시 종로구
POINT (126.970020336252 37.5777925146444),서울특별시 종로구
POINT (126.970020336252 37.5777925146444),서울특별시 종로구
POINT (126.970020336252 37.5777925146444),서울특별시 종로구
POINT (126.96996283713 37.57776732625),서울특별시 종로구
POINT (126.969364718791 37.5778220971509),서울특별시 종로구
POINT (126.987917005907 37.5794642421179),서울특별시 종로구
POINT (126.987931388711 37.5794322042437),서울특별시 종로구
POINT (126.987968761699 37.5794871326509),서울특별시 종로구
POINT (126.98802050579 37.5795832559485),서울특별시 종로구
POINT (126.988092363083 37.579777787809),서울특별시 종로구
POINT (126.988161361511 37.5798693357303),서울특별시 종로구
POINT (126.988236087074 37.5801142153191),서울특별시 종로구
POINT (126.988204432542 37.5802629662459),서울특별시 종로구
POINT (126.98821880023 37.5803270463626),서울특별시 종로구
POINT (126.98821880023 37.5803270463626),서울특별시 종로구
POINT (126.988514984269 37.5803179214534),서울특별시 종로구
POINT (126.988514984269 37.5803179214534),서울특별시 종로구
POINT (126.988514984269 37.5803179214534),서울특별시 종로구
POINT (126.988514984269 37.5803179214534),서울특별시 종로구
POINT (126.988546581064 37.5805421999048),서울특별시 종로구
POINT (126.98856954782 37.5807893627455),서울특별시 종로구
POINT (126.98856954782 37.5807893627455),서울특별시 종로구
POINT (126.988572373028 37.581118910489),서울특별시 종로구
POINT (126.988831140915 37.5813546532268),서울특별시 종로구
POINT (126.988788006929 37.5813546491378),서울특별시 종로구
POINT (126.988788006929 37.5813546491378),서울특별시 종로구
POINT (126.988831140915 37.5813546532268),서울특별시 종로구
POINT (126.988770728931 37.581517132693),서울특별시 종로구
POINT (126.98876784026 37.5816040963249),서울특별시 종로구
POINT (126.988741937383 37.5817528479054),서울특별시 종로구
POINT (126.988638373532 37.582027460831),서울특별시 종로구
POINT (126.988557837471 37.5821487448057),서울특별시 종로구
POINT (126.988557837471 37.5821487448057),서울특별시 종로구
POINT (126.988506072268 37.5821739135366),서울특별시 종로구
POINT (126.988483024918 37.5824485341185),서울특별시 종로구
POINT (126.988483024918 37.5824485341185),서울특별시 종로구
POINT (126.988520408956 37.582443960713),서울특별시 종로구
POINT (126.988307612957 37.5824347857329),서울특별시 종로구
POINT (126.988244381609 37.5822265238087),서울특별시 종로구
POINT(127.0007340 37.5874481),서울특별시 종로구
POINT (126.988183944496 37.5825354684526),서울특별시 종로구
POINT (126.988183944496 37.5825354684526),서울특별시 종로구
POINT (126.988137929827 37.5825629261194),서울특별시 종로구
