개방자치단체코드,상세영업상태명,지번주소,도로명주소
3240000,영업,서울특별시 강동구 길동 458-6,서울특별시 강동구 천호대로177길 16 (길동)
3090000,영업,서울특별시 도봉구 창동 12-1,서울특별시 도봉구 노해로69길 21-11 (창동)
3160000,영업,서울특별시 구로구 오류동 55-50,서울특별시 구로구 경인로 216 (오류동)
3010000,영업,서울특별시 중구 충무로2가 52-1 해보라인쇄,"서울특별시 중구 퇴계로 161, 해보라인쇄 지하1~지상2층 (충무로2가)"
3150000,영업,서울특별시 강서구 화곡동 902-10 2층,"서울특별시 강서구 강서로7길 19, 2층 (화곡동)"
3200000,영업,서울특별시 관악구 신림동 1433-51,서울특별시 관악구 남부순환로 1599-3 (신림동)
3240000,영업,서울특별시 강동구 길동 412-12 부에노빌딩,"서울특별시 강동구 양재대로 1457, 부에노빌딩 2층 (길동)"
3110000,영업,서울특별시 은평구 대조동 15-80,"서울특별시 은평구 통일로65길 20-2, 지하1층 (대조동)"
3160000,영업,서울특별시 구로구 오류동 6-304,서울특별시 구로구 경인로 174 (오류동)
3010000,영업,서울특별시 중구 초동 53-22 (지상2층),"서울특별시 중구 마른내로2길 27 (초동,(지상2층))"
3200000,영업,서울특별시 관악구 신림동 1432-76,"서울특별시 관악구 신림로 351, 지하1층 (신림동)"
3220000,영업,서울특별시 강남구 삼성동 142-29,"서울특별시 강남구 선릉로92길 38, 제이빌딩 9~10층 (삼성동)"
3150000,폐업,서울특별시 강서구 화곡동 1117-10 지하1층,"서울특별시 강서구 화곡로 318-1, 지하1층 (화곡동)"
3200000,영업,서울특별시 관악구 신림동 1640-30,"서울특별시 관악구 남부순환로176길 11, 지하1층 (신림동)"
3090000,영업,서울특별시 도봉구 창동 3-3 3층 303호,"서울특별시 도봉구 마들로11길 73, 3층 303호 (창동)"
3080000,영업,서울특별시 강북구 수유동 7-4,"서울특별시 강북구 수유로 84, 지하 1층 (수유동)"
3220000,영업,서울특별시 강남구 역삼동 735-11 지하1층,서울특별시 강남구 논현로87길 41 (역삼동)
3220000,영업,서울특별시 강남구 역삼동 735-11 지하1층,서울특별시 강남구 논현로87길 지하 41 (역삼동)
3130000,폐업,서울특별시 마포구 노고산동 107-1,"서울특별시 마포구 서강로 144, 지하2층 (노고산동)"
3220000,영업,서울특별시 강남구 신사동 561-30,서울특별시 강남구 도산대로 159 (신사동)
3110000,영업,서울특별시 은평구 불광동 281-172,"서울특별시 은평구 통일로 720, 2층 (불광동)"
3240000,영업,서울특별시 강동구 길동 459,서울특별시 강동구 천호대로177길 10 (길동)
3010000,폐업,서울특별시 중구 을지로3가 291-45,서울특별시 중구 충무로 54-3 (을지로3가)
3150000,폐업,서울특별시 강서구 화곡동 936-3 2층,"서울특별시 강서구 곰달래로16길 26, 2층 (화곡동)"
3150000,영업,서울특별시 강서구 화곡동 935-1,"서울특별시 강서구 곰달래로16길 32, 2층 (화곡동)"
3110000,영업,서울특별시 은평구 응암동 96-14 (지층),"서울특별시 은평구 은평로 166 (응암동,(지층))"
3150000,영업,서울특별시 강서구 화곡동 901-15 시온빌딩 401호,"서울특별시 강서구 강서로7길 35, 시온빌딩 401호 (화곡동)"
3220000,영업,서울특별시 강남구 역삼동 719 신웅타워,"서울특별시 강남구 테헤란로 216, 신웅타워 지하1,2층 (역삼동)"
3150000,영업,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 703-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 703-1호 (마곡동)"
3100000,영업,서울특별시 노원구 상계동 710 문화빌딩 지하1층,"서울특별시 노원구 노해로77길 14-3, 지하1층 (상계동, 문화빌딩)"
3030000,영업,서울특별시 성동구 용답동 233-6,"서울특별시 성동구 천호대로 426, 지층 (용답동, 233-6)"
3220000,영업,서울특별시 강남구 논현동 237-5,서울특별시 강남구 언주로 605 (논현동)
3200000,영업,서울특별시 관악구 신림동 1431-15,"서울특별시 관악구 신림로 361, 지하1층 (신림동)"
3200000,영업,서울특별시 관악구 신림동 1655,"서울특별시 관악구 시흥대로 570, 지하1층 (신림동)"
3160000,영업,서울특별시 구로구 오류동 6-17 2층 6-45,"서울특별시 구로구 경인로 169, 2층 (오류동)"
3210000,영업,서울특별시 서초구 서초동 1303-36 트라이랜드빌딩 2층,"서울특별시 서초구 서초대로77길 58, 트라이랜드빌딩 2층 (서초동)"
3040000,영업,서울특별시 광진구 군자동 355-11,서울특별시 광진구 광나루로 343 (군자동)
3020000,영업,서울특별시 용산구 이태원동 127-2,"서울특별시 용산구 이태원로 192, 지하1층 (이태원동)"
3220000,영업,서울특별시 강남구 논현동 74 PATIO7,"서울특별시 강남구 논현로 736, PATIO7 지하1,2층 (논현동)"
3130000,영업,서울특별시 마포구 도화동 541-0 거성빌딩지하15호,"서울특별시 마포구 마포대로 38 (도화동,거성빌딩지하15호)"
3080000,영업,서울특별시 강북구 수유동 191-20,"서울특별시 강북구 도봉로87길 6, 5층 (수유동)"
3010000,영업,서울특별시 중구 저동2가 7-5 서광빌딩,"서울특별시 중구 수표로 42-13, 서광빌딩 1층 (저동2가)"
3210000,영업,서울특별시 서초구 서초동 1303-36 트라이랜드빌딩 7층,"서울특별시 서초구 서초대로77길 58, 트라이랜드빌딩 7층 (서초동)"
3160000,영업,서울특별시 구로구 개봉동 403-175,서울특별시 구로구 개봉로 20 (개봉동)
3160000,영업,서울특별시 구로구 개봉동 403-141,서울특별시 구로구 개봉로 50 (개봉동)
3010000,영업,서울특별시 중구 북창동 118 2층,"서울특별시 중구 남대문로1길 16 (북창동, 2층)"
3220000,폐업,서울특별시 강남구 삼성동 143-16,"서울특별시 강남구 테헤란로77길 11-20, 지하1층 (삼성동)"
3240000,영업,서울특별시 강동구 천호동 429-4,"서울특별시 강동구 올림픽로72길 13, 지1층 (천호동)"
3000000,영업,서울특별시 종로구 종로6가 244-15,서울특별시 종로구 종로39길 10-1 (종로6가)
3210000,영업,"서울특별시 서초구 잠원동 18-5 외4필지 지하2,3층","서울특별시 서초구 나루터로 64 (잠원동,외4필지 지하2,3층)"
3080000,폐업,서울특별시 강북구 수유동 229-5,서울특별시 강북구 도봉로 333 (수유동)
3180000,영업,서울특별시 영등포구 여의도동 43-1 유성빌딩,"서울특별시 영등포구 여의대방로69길 28, 유성빌딩 지1층 1호 (여의도동)"
3180000,영업,서울특별시 영등포구 영등포동3가 7-52,서울특별시 영등포구 영중로10길 10-1 (영등포동3가)
3180000,영업,서울특별시 영등포구 여의도동 44-14,서울특별시 영등포구 여의대방로 383 (여의도동)
3010000,영업,서울특별시 중구 초동 40-4 지상2층,"서울특별시 중구 충무로 26-1 (초동,지상2층)"
3220000,영업,"서울특별시 강남구 삼성동 142-29 지상2,3층","서울특별시 강남구 선릉로92길 38 (삼성동,지상2,3층)"
3000000,영업,서울특별시 종로구 관수동 154-1 1층,"서울특별시 종로구 수표로 83, 1층 (관수동)"
3000000,영업,서울특별시 종로구 돈의동 19 (지하1층),"서울특별시 종로구 돈화문로11다길 9 (돈의동,(지하1층))"
3000000,폐업,서울특별시 종로구 숭인동 1252-0번지 ,
