포인트 wkt,읍면동명
POINT(126.996984760629 37.5843855419961),명륜3가
POINT(126.996438368977 37.5845045299576),명륜3가
POINT(126.996452745732 37.5845434352767),명륜3가
POINT(126.995903477733 37.5846372469232),명륜3가
POINT(126.995903477733 37.5846372469232),명륜3가
POINT(126.995742434245 37.5846875887231),명륜3가
POINT(126.995627404884 37.5846921615635),명륜3가
POINT(126.995627404884 37.5846921615635),명륜3가
POINT(126.995636026055 37.584795145401),명륜3가
POINT(126.995334068968 37.5848798091876),명륜3가
POINT(126.995256418758 37.5849644814275),명륜3가
POINT(126.995290927613 37.5849644828093),명륜3가
POINT(126.995290927613 37.5849644828093),명륜3가
POINT(126.995152878836 37.585170444247),명륜3가
POINT(126.9950062 37.5854047),명륜3가
POINT(126.995003316953 37.5855160048932),명륜3가
POINT(126.995003316953 37.5855160048932),명륜3가
POINT(126.994735847498 37.5858546945637),명륜3가
POINT(126.994606430318 37.5859576722194),명륜3가
POINT(126.994600671989 37.586051501364),명륜3가
POINT(126.994600671989 37.586051501364),명륜3가
POINT(126.99442235725 37.5862711911927),명륜3가
POINT(126.994163512009 37.5865824176669),명륜3가
POINT(126.994163507541 37.5866396307144),명륜3가
POINT(126.994163507541 37.5866396307144),명륜3가
POINT(126.994163507541 37.5866396307144),명륜3가
POINT(126.994163507541 37.5866396307144),명륜3가
POINT(126.993999566965 37.586886782854),명륜3가
POINT(126.993873023737 37.5869783172247),명륜3가
POINT (126.996634477042 37.5878239833691),명륜3가
POINT (126.996634477042 37.5878239833691),명륜3가
POINT (126.996724351554 37.5877267237355),명륜3가
POINT (126.996533821965 37.5878325624117),명륜3가
POINT (126.996257016123 37.5879412587258),명륜3가
POINT (126.995883145531 37.5881186066834),명륜3가
POINT (126.995883145531 37.5881186066834),명륜3가
POINT (126.995742935496 37.5883274292769),명륜3가
POINT (126.995444553625 37.5885019178805),명륜3가
POINT (126.99529715878 37.5886020349005),명륜3가
POINT (126.99527917822 37.5887021569815),명륜3가
POINT (126.995156945089 37.5888280206884),명륜3가
POINT (126.995041904502 37.588905253497),명륜3가
POINT (126.995041904502 37.588905253497),명륜3가
POINT (126.994711167486 37.5890425504005),명륜3가
POINT (126.994653635674 37.5892370720872),명륜3가
POINT (126.994653635674 37.5892370720872),명륜3가
POINT (126.994229431908 37.589342896201),명륜3가
POINT (126.994179095081 37.5894515984685),명륜3가
POINT (126.994121578219 37.589434431712),명륜3가
POINT (126.994038888051 37.5895316896985),명륜3가
POINT (126.993754869347 37.5897977155468),명륜3가
POINT (126.993754869347 37.5897977155468),명륜3가
POINT (126.993474445038 37.590046576994),명륜3가
POINT (126.993452194661 37.5901245284933),명륜3가
POINT (126.993477355361 37.5901674396463),명륜3가
POINT (126.993329942598 37.5904020047572),명륜3가
POINT (126.993329942598 37.5904020047572),명륜3가
POINT (126.993329942598 37.5904020047572),명륜3가
POINT (126.993329942598 37.5904020047572),명륜3가
POINT (126.993204104823 37.5905679153081),명륜3가
POINT (126.993081880505 37.5905278591012),명륜3가
